created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Sep 23 04:46:02 +0000 2023;1705443383123263923;"@vfxubioifyvjf @Capres_abadi_ Moment Prabowo naik darah ditanya kadernya korupsi .. bahaya orang tempramen gini #ハマダ歌謡祭 #MGTRA24xMiniConENG Capres Humoris #7DREAMinJakarta";0;0;0;0;in;1566223815574556672;1705201949690474525;Whitney56000391;https://twitter.com/Whitney56000391/status/1705443383123263923
Sat Sep 23 04:45:55 +0000 2023;1705443350634283122;"@vfxubioifyvjf @Capres_abadi_ maklum Prabowo udah sepuh jadi suka bingung sendiri, kayak gini mau mimpin bangsa ? #ハマダ歌謡祭 #MGTRA24xMiniConENG Capres Humoris #7DREAMinJakarta";0;0;0;0;in;1566223815574556672;1705201949690474525;Whitney56000391;https://twitter.com/Whitney56000391/status/1705443350634283122
Sat Sep 23 04:45:44 +0000 2023;1705443308041048178;"@vfxubioifyvjf @Capres_abadi_ Moment Prabowo naik darah ditanya kadernya korupsi .. bahaya orang tempramen gini #ハマダ歌謡祭 #MGTRA24xMiniConENG Capres Humoris #7DREAMinJakarta";0;0;0;0;in;1566223815574556672;1705201949690474525;Whitney56000391;https://twitter.com/Whitney56000391/status/1705443308041048178
Sat Sep 23 04:45:38 +0000 2023;1705443279184310275;"@Sukafakta_ @Capres_abadi_ Moment Prabowo naik darah ditanya kadernya korupsi .. bahaya orang tempramen gini #ハマダ歌謡祭 #MGTRA24xMiniConENG Capres Humoris #7DREAMinJakarta";0;0;0;0;in;1566223815574556672;1705201949690474525;Whitney56000391;https://twitter.com/Whitney56000391/status/1705443279184310275
Sat Sep 23 04:45:19 +0000 2023;1705443201212194841;"@vfxubioifyvjf @Capres_abadi_ maklum Prabowo udah sepuh jadi suka bingung sendiri, kayak gini mau mimpin bangsa ? #ハマダ歌謡祭 #MGTRA24xMiniConENG Capres Humoris #7DREAMinJakarta";0;0;0;0;in;1566223815574556672;1705201911996240062;Whitney56000391;https://twitter.com/Whitney56000391/status/1705443201212194841
Sat Sep 23 04:45:12 +0000 2023;1705443172200132969;"@vfxubioifyvjf @Capres_abadi_ maklum Prabowo udah sepuh jadi suka bingung sendiri, kayak gini mau mimpin bangsa ? #ハマダ歌謡祭 #MGTRA24xMiniConENG Capres Humoris #7DREAMinJakarta";0;0;0;0;in;1566223815574556672;1705201911996240062;Whitney56000391;https://twitter.com/Whitney56000391/status/1705443172200132969
Sat Sep 23 04:45:05 +0000 2023;1705443142441570379;"@Sukafakta_ @Capres_abadi_ maklum Prabowo udah sepuh jadi suka bingung sendiri, kayak gini mau mimpin bangsa ? #ハマダ歌謡祭 #MGTRA24xMiniConENG Capres Humoris #7DREAMinJakarta";0;0;0;0;in;1566223815574556672;1705201911996240062;Whitney56000391;https://twitter.com/Whitney56000391/status/1705443142441570379
Sat Sep 23 04:44:56 +0000 2023;1705443107075207433;"@Sukafakta_ @Capres_abadi_ maklum Prabowo udah sepuh jadi suka bingung sendiri, kayak gini mau mimpin bangsa ? #ハマダ歌謡祭 #MGTRA24xMiniConENG Capres Humoris #7DREAMinJakarta";0;0;0;0;in;1566223815574556672;1705201911996240062;Whitney56000391;https://twitter.com/Whitney56000391/status/1705443107075207433
Sat Sep 23 04:37:14 +0000 2023;1705441165804478727;"SBY selalu menjadi incaran Prabowo untuk melampiaskan amarahnya ketika di AKMIL  .  Sambo STILL WITH YOU Cristiano Ronaldo Rewrite the Stars Jamal Peterpan INDONESIA ON TOP Jake JUNGKOOK IS COMING Susi Gambar Alam Ganjar Hindus Buford #JungkookxVogueKorea https://t.co/3KBI1BdI5U";7;0;1;8;in;1668818100320452610;1705441165804478727;RisyadValerie;https://twitter.com/RisyadValerie/status/1705441165804478727
Sat Sep 23 04:29:50 +0000 2023;1705439306096189530;"@Paltiwest @prabowo buzzer koq dibahas ... JAGA PERSATUAN !!!! ,";0;0;0;0;in;1585417986294550529;1705401361544958363;matawardha;https://twitter.com/matawardha/status/1705439306096189530
